start station name,usertype
1 Ave & E 15 St,5467
1 Ave & E 18 St,3168
1 Ave & E 30 St,3982
1 Ave & E 44 St,2561
10 Ave & W 28 St,3670
11 Ave & W 27 St,4036
11 Ave & W 41 St,3375
11 Ave & W 59 St,3698
12 Ave & W 40 St,6041
2 Ave & E 31 St,6927
2 Ave & E 58 St,2683
3 Ave & Schermerhorn St,392
5 Ave & E 29 St,3977
6 Ave & Broome St,2523
6 Ave & Canal St,2476
6 Ave & W 33 St,4499
8 Ave & W 31 St,13065
8 Ave & W 33 St,6735
8 Ave & W 52 St,3563
9 Ave & W 14 St,4365
9 Ave & W 16 St,4114
9 Ave & W 18 St,3170
9 Ave & W 22 St,4690
9 Ave & W 45 St,4224
Adelphi St & Myrtle Ave,1086
Allen St & E Houston St,4008
Allen St & Hester St,3677
Allen St & Rivington St,3859
Ashland Pl & Hanson Pl,1864
Atlantic Ave & Fort Greene Pl,1191
Atlantic Ave & Furman St,1573
Avenue D & E 12 St,618
Avenue D & E 3 St,1267
Avenue D & E 8 St,1015
Bank St & Hudson St,3014
Bank St & Washington St,2796
Barclay St & Church St,5038
Barrow St & Hudson St,5176
Bayard St & Baxter St,3009
Bedford Ave & S 9th St,283
Bialystoker Pl & Delancey St,1383
Bond St & Schermerhorn St,1239
Broad St & Bridge St,1320
Broadway & Battery Pl,2908
Broadway & Berry St,794
Broadway & E 14 St,7608
Broadway & E 22 St,7799
Broadway & W 24 St,7069
Broadway & W 29 St,3864
Broadway & W 32 St,4149
Broadway & W 36 St,2909
Broadway & W 37 St,3179
Broadway & W 39 St,3073
Broadway & W 41 St,5084
Broadway & W 49 St,4042
Broadway & W 51 St,3089
Broadway & W 53 St,2902
Broadway & W 55 St,2917
Broadway & W 58 St,5540
Broadway & W 60 St,7186
Bus Slip & State St,1989
Cadman Plaza E & Red Cross Pl,952
Cadman Plaza E & Tillary St,1321
Cadman Plaza West & Montague St,1059
Canal St & Rutgers St,3503
Carlton Ave & Park Ave,311
Carmine St & 6 Ave,6425
Catherine St & Monroe St,1549
Central Park S & 6 Ave,4694
Centre St & Chambers St,5505
Centre St & Worth St,2541
Cherry St,1579
Christopher St & Greenwich St,6705
Clark St & Henry St,1218
Clermont Ave & Lafayette Ave,720
Clermont Ave & Park Ave,424
Cleveland Pl & Spring St,7225
Cliff St & Fulton St,3179
Clinton Ave & Flushing Ave,579
Clinton Ave & Myrtle Ave,1559
Clinton St & Grand St,2386
Clinton St & Joralemon St,1106
Clinton St & Tillary St,543
Columbia Heights & Cranberry St,908
Columbia St & Rivington St,1316
Concord St & Bridge St,507
Cumberland St & Lafayette Ave,847
DeKalb Ave & Hudson Ave,1424
DeKalb Ave & S Portland Ave,885
DeKalb Ave & Skillman St,477
DeKalb Ave & Vanderbilt Ave,1032
Dean St & 4 Ave,1456
Division St & Bowery,2133
Duane St & Greenwich St,2001
Duffield St & Willoughby St,824
E 10 St & 5 Ave,3446
E 10 St & Avenue A,4769
E 11 St & 1 Ave,3420
E 11 St & 2 Ave,4315
E 11 St & Broadway,2635
E 12 St & 3 Ave,4322
E 13 St & Avenue A,3503
E 14 St & Avenue B,3224
E 15 St & 3 Ave,3634
E 16 St & 5 Ave,4507
E 16 St & Irving Pl,3391
E 17 St & Broadway,9748
E 19 St & 3 Ave,3401
E 2 St & 2 Ave,3143
E 2 St & Avenue B,3422
E 2 St & Avenue C,2088
E 20 St & 2 Ave,3705
E 20 St & FDR Drive,2738
E 23 St & 1 Ave,4184
E 24 St & Park Ave S,3998
E 25 St & 1 Ave,1753
E 25 St & 2 Ave,3924
E 27 St & 1 Ave,2400
E 3 St & 1 Ave,3578
E 30 St & Park Ave S,4056
E 31 St & 3 Ave,4201
E 32 St & Park Ave,4615
E 33 St & 1 Ave,203
E 33 St & 5 Ave,3863
E 37 St & Lexington Ave,2186
E 39 St & 2 Ave,4465
E 39 St & 3 Ave,4310
E 4 St & 2 Ave,3715
E 40 St & 5 Ave,4169
E 41 St & Madison Ave,3622
E 42 St & Vanderbilt Ave,11541
E 43 St & 2 Ave,1323
E 43 St & Vanderbilt Ave,6301
E 45 St & 3 Ave,2419
E 47 St & 1 Ave,1557
E 47 St & 2 Ave,2252
E 47 St & Park Ave,3386
E 48 St & 3 Ave,2650
E 5 St & Avenue C,1634
E 51 St & 1 Ave,1608
E 51 St & Lexington Ave,2389
E 52 St & 2 Ave,1954
E 53 St & Lexington Ave,2080
