start station name,usertype
E 53 St & Madison Ave,1528
E 55 St & 2 Ave,1641
E 55 St & Lexington Ave,1607
E 56 St & 3 Ave,2197
E 56 St & Madison Ave,1704
E 58 St & 3 Ave,3993
E 59 St & Sutton Pl,2132
E 6 St & Avenue B,2964
E 6 St & Avenue D,1434
E 7 St & Avenue A,3732
E 9 St & Avenue C,2928
Elizabeth St & Hester St,3301
Emerson Pl & Myrtle Ave,573
FDR Drive & E 35 St,3489
Flushing Ave & Carlton Ave,598
Forsyth St & Broome St,3509
Forsyth St & Canal St,2479
Franklin Ave & Myrtle Ave,382
Franklin St & W Broadway,2212
Front St & Gold St,684
Front St & Maiden Ln,2121
Front St & Washington St,1843
Fulton St & Clermont Ave,499
Fulton St & Grand Ave,701
Fulton St & Rockwell Pl,759
Fulton St & Waverly Ave,884
Fulton St & William St,2374
Gallatin Pl & Livingston St,481
Grand Army Plaza & Central Park S,5400
Grand St & Greene St,2743
Grand St & Havemeyer St,1066
Great Jones St,4831
Greenwich Ave & 8 Ave,6516
Greenwich Ave & Charles St,3819
Greenwich St & N Moore St,4236
Greenwich St & Warren St,5193
Hancock St & Bedford Ave,555
Hanover Pl & Livingston St,244
Harrison St & Hudson St,1479
Henry St & Atlantic Ave,822
Henry St & Grand St,2784
Henry St & Poplar St,864
Hicks St & Montague St,1506
Howard St & Centre St,2986
Hudson St & Reade St,2268
Jay St & Tech Pl,1271
John St & William St,2447
Johnson St & Gold St,1018
Joralemon St & Adams St,1766
Kent Ave & S 11 St,864
LaGuardia Pl & W 3 St,3993
Lafayette Ave & Classon Ave,542
Lafayette Ave & Fort Greene Pl,759
Lafayette Ave & St James Pl,542
Lafayette St & E 8 St,9825
Lafayette St & Jersey St,5765
Laight St & Hudson St,968
Lawrence St & Willoughby St,1164
Lefferts Pl & Franklin Ave,655
Leonard St & Church St,2069
Lexington Ave & Classon Ave,576
Lexington Ave & E 24 St,4025
Lexington Ave & E 26 St,4808
Liberty St & Broadway,3288
Lispenard St & Broadway,2731
Little West St & 1 Pl,3160
MacDougal St & Prince St,5469
MacDougal St & Washington Sq,2919
Macon St & Nostrand Ave,159
Madison St & Clinton St,1551
Madison St & Montgomery St,1540
Maiden Ln & Pearl St,2304
Market St & Cherry St,1250
Mercer St & Bleecker St,4844
Mercer St & Spring St,3078
Metropolitan Ave & Bedford Ave,2143
Monroe St & Bedford Ave,548
Monroe St & Classon Ave,243
Mott St & Prince St,4891
Murray St & West St,2456
Myrtle Ave & St Edwards St,395
Nassau St & Navy St,568
Norfolk St & Broome St,2322
Old Fulton St,2020
Old Slip & Front St,1508
Park Ave & St Edwards St,176
Park Pl & Church St,1987
Pearl St & Anchorage Pl,1227
Pearl St & Hanover Square,2330
Peck Slip & Front Street,1759
Perry St & Bleecker St,2431
Pike St & E Broadway,2169
Pike St & Monroe St,1385
Pitt St & Stanton St,869
Railroad Ave & Kay Ave,111
Reade St & Broadway,2191
Rivington St & Chrystie St,2504
Rivington St & Ridge St,1968
S 3 St & Bedford Ave,668
S 4 St & Wythe Ave,1055
S 5 Pl & S 4 St,2728
S Portland Ave & Hanson Pl,681
Sands St & Navy St,147
Shevchenko Pl & E 7 St,3315
South End Ave & Liberty St,6776
South St & Gouverneur Ln,3187
South St & Whitehall St,2521
Spruce St & Nassau St,2195
St James Pl & Oliver St,1889
St James Pl & Pearl St,1147
St Marks Pl & 1 Ave,3197
St Marks Pl & 2 Ave,4388
Stanton St & Chrystie St,3393
Stanton St & Mangin St,1386
State St & Smith St,1924
Suffolk St & Stanton St,3627
Sullivan St & Washington Sq,3500
University Pl & E 14 St,7014
Vesey Pl & River Terrace,7111
W 13 St & 6 Ave,5635
W 13 St & 7 Ave,3324
W 14 St & The High Line,3098
W 15 St & 7 Ave,4125
W 16 St & The High Line,4113
W 17 St & 8 Ave,5315
W 18 St & 6 Ave,6117
W 20 St & 11 Ave,5576
W 20 St & 7 Ave,4065
W 20 St & 8 Ave,3249
W 21 St & 6 Ave,7855
W 22 St & 10 Ave,5835
W 22 St & 8 Ave,4395
W 24 St & 7 Ave,5486
W 25 St & 6 Ave,4374
W 26 St & 10 Ave,3216
W 26 St & 8 Ave,4356
W 27 St & 7 Ave,4719
W 29 St & 9 Ave,2993
W 31 St & 7 Ave,5953
W 33 St & 7 Ave,4776
W 34 St & 11 Ave,1886
W 37 St & 10 Ave,3630
W 37 St & 5 Ave,2802
W 38 St & 8 Ave,5638
W 39 St & 9 Ave,5003
W 4 St & 7 Ave S,5084
W 41 St & 8 Ave,6013
W 42 St & 8 Ave,3303
W 43 St & 10 Ave,3949
W 44 St & 5 Ave,2682
W 45 St & 6 Ave,3622
W 45 St & 8 Ave,3297
W 46 St & 11 Ave,2836
W 47 St & 10 Ave,2712
W 49 St & 5 Ave,241
W 49 St & 8 Ave,3998
W 51 St & 6 Ave,3395
W 52 St & 11 Ave,3220
W 52 St & 5 Ave,2217
W 52 St & 9 Ave,1953
W 53 St & 10 Ave,2460
W 54 St & 9 Ave,1739
W 56 St & 10 Ave,2121
W 56 St & 6 Ave,3434
W 59 St & 10 Ave,2481
W Broadway & Spring St,4374
W Houston St & Hudson St,5887
Warren St & Church St,1812
Washington Ave & Greene Ave,491
Washington Ave & Park Ave,781
Washington Park,775
Washington Pl & 6 Ave,2775
Washington Pl & Broadway,2733
Washington Square E,4005
Washington St & Gansevoort St,4321
Water - Whitehall Plaza,1455
Watts St & Greenwich St,2779
West St & Chambers St,8577
West Thames St,3992
William St & Pine St,2243
Willoughby Ave & Hall St,866
Willoughby Ave & Walworth St,660
Willoughby St & Fleet St,977
Wythe Ave & Metropolitan Ave,1932
York St & Jay St,2097
