,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
35,464,2013-07-01 00:07:29,2013-07-01 00:15:13,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,445,E 10 St & Avenue A,40.72740794,-73.98142006,18195,Subscriber,1979,1
36,1143,2013-07-01 00:08:10,2013-07-01 00:27:13,237,E 11 St & 2 Ave,40.73047309,-73.98672378,471,Grand St & Havemeyer St,40.71286844,-73.95698119,18248,Subscriber,1987,1
37,1224,2013-07-01 00:08:43,2013-07-01 00:29:07,357,E 11 St & Broadway,40.73261787,-73.99158043,79,Franklin St & W Broadway,40.71911552,-74.00666661,15105,Customer,\N,0
39,1067,2013-07-01 00:09:25,2013-07-01 00:27:12,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,2003,1 Ave & E 18 St,40.73416059,-73.98024289,20165,Subscriber,1984,1
40,683,2013-07-01 00:09:27,2013-07-01 00:20:50,382,University Pl & E 14 St,40.73492695,-73.99200509,347,W Houston St & Hudson St,40.72873888,-74.00748842,18759,Subscriber,1984,1
41,1141,2013-07-01 00:09:35,2013-07-01 00:28:36,251,Mott St & Prince St,40.72317958,-73.99480012,368,Carmine St & 6 Ave,40.73038599,-74.00214988,16278,Subscriber,1973,1
42,1225,2013-07-01 00:09:37,2013-07-01 00:30:02,225,W 14 St & The High Line,40.74195138,-74.00803013,326,E 11 St & 1 Ave,40.72953837,-73.98426726,14898,Subscriber,1982,1
43,191,2013-07-01 00:09:54,2013-07-01 00:13:05,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,20563,Subscriber,1955,1
44,305,2013-07-01 00:10:15,2013-07-01 00:15:20,325,E 19 St & 3 Ave,40.73624527,-73.98473765,382,University Pl & E 14 St,40.73492695,-73.99200509,19199,Subscriber,1953,2
45,779,2013-07-01 00:10:35,2013-07-01 00:23:34,224,Spruce St & Nassau St,40.71146364,-74.00552427,349,Rivington St & Ridge St,40.71850211,-73.98329859,16320,Subscriber,1985,2
46,1711,2013-07-01 00:11:16,2013-07-01 00:39:47,265,Stanton St & Chrystie St,40.72229346,-73.99147535,403,E 2 St & 2 Ave,40.72502876,-73.99069656,17664,Customer,\N,0
47,978,2013-07-01 00:11:31,2013-07-01 00:27:49,385,E 55 St & 2 Ave,40.75797322,-73.96603308,297,E 15 St & 3 Ave,40.734232,-73.986923,15331,Subscriber,1977,1
48,788,2013-07-01 00:11:40,2013-07-01 00:24:48,403,E 2 St & 2 Ave,40.72502876,-73.99069656,393,E 5 St & Avenue C,40.72299208,-73.97995466,19454,Subscriber,1954,2
50,1622,2013-07-01 00:12:15,2013-07-01 00:39:17,482,W 15 St & 7 Ave,40.73935542,-73.99931783,322,Clinton St & Tillary St,40.696191999999996,-73.991218,17244,Customer,\N,0
51,528,2013-07-01 00:12:16,2013-07-01 00:21:04,430,York St & Jay St,40.7014851,-73.98656928,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,19005,Customer,\N,0
52,1446,2013-07-01 00:12:18,2013-07-01 00:36:24,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2004,6 Ave & Broome St,40.724399,-74.004704,18859,Customer,\N,0
54,374,2013-07-01 00:12:26,2013-07-01 00:18:40,312,Allen St & E Houston St,40.722055,-73.989111,266,Avenue D & E 8 St,40.72368361,-73.97574813,16844,Customer,\N,0
56,515,2013-07-01 00:12:31,2013-07-01 00:21:06,507,E 25 St & 2 Ave,40.73912601,-73.97973776,470,W 20 St & 8 Ave,40.74345335,-74.00004031,17222,Customer,\N,0
59,176,2013-07-01 00:12:39,2013-07-01 00:15:35,239,Willoughby St & Fleet St,40.69196566,-73.9813018,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,20125,Subscriber,1975,1
60,1041,2013-07-01 00:12:48,2013-07-01 00:30:09,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,348,W Broadway & Spring St,40.72490985,-74.00154702,20588,Subscriber,1988,1
61,509,2013-07-01 00:13:03,2013-07-01 00:21:32,476,E 31 St & 3 Ave,40.74394314,-73.97966069,509,9 Ave & W 22 St,40.7454973,-74.00197139,15309,Customer,\N,0
62,207,2013-07-01 00:13:34,2013-07-01 00:17:01,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,15066,Customer,\N,0
64,515,2013-07-01 00:13:56,2013-07-01 00:22:31,519,Pershing Square N,40.75188406,-73.97770164,527,E 33 St & 1 Ave,40.74315566,-73.97434726,15836,Subscriber,1985,1
65,606,2013-07-01 00:14:13,2013-07-01 00:24:19,497,E 17 St & Broadway,40.73704984,-73.99009296,498,Broadway & W 32 St,40.74854862,-73.98808416,19962,Subscriber,1969,1
66,786,2013-07-01 00:14:36,2013-07-01 00:27:42,146,Hudson St & Reade St,40.71625008,-74.0091059,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,17622,Customer,\N,0
67,521,2013-07-01 00:14:38,2013-07-01 00:23:19,362,Broadway & W 37 St,40.75172632,-73.98753523,482,W 15 St & 7 Ave,40.73935542,-73.99931783,19357,Subscriber,1963,1
68,749,2013-07-01 00:14:45,2013-07-01 00:27:14,467,Dean St & 4 Ave,40.68312489,-73.97895137,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,16924,Subscriber,1988,1
71,269,2013-07-01 00:15:49,2013-07-01 00:20:18,504,1 Ave & E 15 St,40.73221853,-73.98165557,512,W 29 St & 9 Ave,40.750072700000004,-73.99839279,16334,Customer,\N,0
72,304,2013-07-01 00:16:06,2013-07-01 00:21:10,357,E 11 St & Broadway,40.73261787,-73.99158043,229,Great Jones St,40.72743423,-73.99379025,20176,Subscriber,1973,1
75,113,2013-07-01 00:17:00,2013-07-01 00:18:53,308,St James Pl & Oliver St,40.71307916,-73.99851193,386,Centre St & Worth St,40.71494807,-74.00234482,15786,Subscriber,1985,1
78,633,2013-07-01 00:18:09,2013-07-01 00:28:42,334,W 20 St & 7 Ave,40.74238787,-73.99726235,483,E 12 St & 3 Ave,40.73223272,-73.98889957,20517,Subscriber,1967,1
79,1681,2013-07-01 00:18:11,2013-07-01 00:46:12,523,W 38 St & 8 Ave,40.75466591,-73.99138152,513,W 56 St & 10 Ave,40.768254,-73.988639,20555,Subscriber,1953,1
81,1263,2013-07-01 00:18:29,2013-07-01 00:39:32,450,W 49 St & 8 Ave,40.76227205,-73.98788205,317,E 6 St & Avenue B,40.72453734,-73.98185424,20249,Subscriber,1986,1
82,2192,2013-07-01 00:18:32,2013-07-01 00:55:04,309,Murray St & West St,40.7149787,-74.013012,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16059,Subscriber,1960,1
83,834,2013-07-01 00:18:33,2013-07-01 00:32:27,497,E 17 St & Broadway,40.73704984,-73.99009296,521,8 Ave & W 31 St,40.75044999,-73.99481051,17767,Subscriber,1991,2
84,463,2013-07-01 00:18:44,2013-07-01 00:26:27,533,Broadway & W 39 St,40.75299641,-73.98721619,528,2 Ave & E 31 St,40.74290902,-73.97706058,20351,Subscriber,1991,1
89,159,2013-07-01 00:19:31,2013-07-01 00:22:10,224,Spruce St & Nassau St,40.71146364,-74.00552427,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,16525,Subscriber,1961,1
90,968,2013-07-01 00:20:07,2013-07-01 00:36:15,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,282,Kent Ave & S 11 St,40.70827295,-73.96834101,16311,Subscriber,1956,1
91,1391,2013-07-01 00:20:42,2013-07-01 00:43:53,404,9 Ave & W 14 St,40.7405826,-74.00550867,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,18076,Subscriber,1986,1
92,227,2013-07-01 00:20:44,2013-07-01 00:24:31,368,Carmine St & 6 Ave,40.73038599,-74.00214988,489,10 Ave & W 28 St,40.75066386,-74.00176802,16204,Customer,\N,0
94,679,2013-07-01 00:21:22,2013-07-01 00:32:41,449,W 52 St & 9 Ave,40.76461837,-73.98789473,478,11 Ave & W 41 St,40.76030096,-73.99884222,15742,Customer,\N,0
95,759,2013-07-01 00:21:42,2013-07-01 00:34:21,247,Perry St & Bleecker St,40.73535398,-74.00483091,146,Hudson St & Reade St,40.71625008,-74.0091059,19512,Customer,\N,0
97,1119,2013-07-01 00:24:04,2013-07-01 00:42:43,237,E 11 St & 2 Ave,40.73047309,-73.98672378,503,E 20 St & Park Ave,40.73827428,-73.98751968,14548,Subscriber,1982,1
98,817,2013-07-01 00:24:26,2013-07-01 00:38:03,167,E 39 St & 3 Ave,40.7489006,-73.97604882,305,E 58 St & 3 Ave,40.76095756,-73.96724467,15294,Customer,\N,0
99,1179,2013-07-01 00:25:16,2013-07-01 00:44:55,528,2 Ave & E 31 St,40.74290902,-73.97706058,401,Allen St & Rivington St,40.72019576,-73.98997825,18922,Subscriber,1979,1
101,884,2013-07-01 00:25:31,2013-07-01 00:40:15,268,Howard St & Centre St,40.71910537,-73.99973337,387,Centre St & Chambers St,40.71273266,-74.0046073,18014,Customer,\N,0
103,1020,2013-07-01 00:25:51,2013-07-01 00:42:51,468,Broadway & W 55 St,40.7652654,-73.98192338,448,W 37 St & 10 Ave,40.75660359,-73.9979009,17243,Customer,\N,0
104,1526,2013-07-01 00:26:30,2013-07-01 00:51:56,509,9 Ave & W 22 St,40.7454973,-74.00197139,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,17781,Customer,\N,0
106,908,2013-07-01 00:26:35,2013-07-01 00:41:43,317,E 6 St & Avenue B,40.72453734,-73.98185424,385,E 55 St & 2 Ave,40.75797322,-73.96603308,18731,Customer,\N,0
108,1710,2013-07-01 00:26:38,2013-07-01 00:55:08,387,Centre St & Chambers St,40.71273266,-74.0046073,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,19230,Customer,\N,0
109,1249,2013-07-01 00:26:39,2013-07-01 00:47:28,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,443,Bedford Ave & S 9th St,40.70853074,-73.96408963,19155,Customer,\N,0
110,1265,2013-07-01 00:26:47,2013-07-01 00:47:52,470,W 20 St & 8 Ave,40.74345335,-74.00004031,464,E 56 St & 3 Ave,40.75934501,-73.96759673,17222,Subscriber,1956,1
114,643,2013-07-01 00:28:10,2013-07-01 00:38:53,489,10 Ave & W 28 St,40.75066386,-74.00176802,225,W 14 St & The High Line,40.74195138,-74.00803013,17459,Customer,\N,0
116,186,2013-07-01 00:28:45,2013-07-01 00:31:51,462,W 22 St & 10 Ave,40.74691959,-74.00451887,492,W 33 St & 7 Ave,40.75019995,-73.99093085,19635,Customer,\N,0
119,1097,2013-07-01 00:29:35,2013-07-01 00:47:52,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,19299,Customer,\N,0
122,943,2013-07-01 00:31:49,2013-07-01 00:47:32,116,W 17 St & 8 Ave,40.74177603,-74.00149746,247,Perry St & Bleecker St,40.73535398,-74.00483091,16532,Customer,\N,0
124,807,2013-07-01 00:32:07,2013-07-01 00:45:34,393,E 5 St & Avenue C,40.72299208,-73.97995466,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,19454,Subscriber,1954,2
126,184,2013-07-01 00:32:42,2013-07-01 00:35:46,294,Washington Square E,40.73049393,-73.99572140000001,375,Mercer St & Bleecker St,40.72679454,-73.99695094,20590,Subscriber,1971,1
133,864,2013-07-01 00:36:06,2013-07-01 00:50:30,2004,6 Ave & Broome St,40.724399,-74.004704,507,E 25 St & 2 Ave,40.73912601,-73.97973776,18724,Customer,\N,0
135,245,2013-07-01 00:36:20,2013-07-01 00:40:25,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,404,9 Ave & W 14 St,40.7405826,-74.00550867,19931,Subscriber,1985,1
136,293,2013-07-01 00:36:35,2013-07-01 00:41:28,237,E 11 St & 2 Ave,40.73047309,-73.98672378,268,Howard St & Centre St,40.71910537,-73.99973337,19495,Customer,\N,0
137,663,2013-07-01 00:36:56,2013-07-01 00:47:59,375,Mercer St & Bleecker St,40.72679454,-73.99695094,316,Fulton St & William St,40.70955958,-74.00653609,16120,Subscriber,1990,1
139,644,2013-07-01 00:37:23,2013-07-01 00:48:07,472,E 32 St & Park Ave,40.745712100000006,-73.98194829,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,19147,Subscriber,1954,1
143,472,2013-07-01 00:38:16,2013-07-01 00:46:08,410,Suffolk St & Stanton St,40.72066442,-73.98517977,72,W 52 St & 11 Ave,40.76727216,-73.99392888,17764,Subscriber,1980,1
144,588,2013-07-01 00:38:32,2013-07-01 00:48:20,486,Broadway & W 29 St,40.7462009,-73.98855723,164,E 47 St & 2 Ave,40.75323098,-73.97032517,15204,Subscriber,1989,1
145,520,2013-07-01 00:38:33,2013-07-01 00:47:13,448,W 37 St & 10 Ave,40.75660359,-73.9979009,379,W 31 St & 7 Ave,40.749156,-73.9916,17964,Subscriber,1988,1
149,554,2013-07-01 00:39:11,2013-07-01 00:48:25,317,E 6 St & Avenue B,40.72453734,-73.98185424,469,Broadway & W 53 St,40.76344058,-73.98268129,16979,Customer,\N,0
157,370,2013-07-01 00:41:03,2013-07-01 00:47:13,402,Broadway & E 22 St,40.740343200000005,-73.98955109,335,Washington Pl & Broadway,40.72903917,-73.99404649,18597,Subscriber,1981,1
158,692,2013-07-01 00:41:09,2013-07-01 00:52:41,319,Park Pl & Church St,40.71336124,-74.00937622,472,E 32 St & Park Ave,40.745712100000006,-73.98194829,19603,Subscriber,1976,1
161,908,2013-07-01 00:41:42,2013-07-01 00:56:50,434,9 Ave & W 18 St,40.74317449,-74.00366443,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,16613,Subscriber,1991,1
163,1374,2013-07-01 00:42:36,2013-07-01 01:05:30,507,E 25 St & 2 Ave,40.73912601,-73.97973776,389,Broadway & Berry St,40.71044554,-73.96525063,20105,Subscriber,1991,1
165,1393,2013-07-01 00:42:46,2013-07-01 01:05:59,387,Centre St & Chambers St,40.71273266,-74.0046073,426,West St & Chambers St,40.71754834,-74.01322069,15741,Customer,\N,0
167,441,2013-07-01 00:43:06,2013-07-01 00:50:27,462,W 22 St & 10 Ave,40.74691959,-74.00451887,446,W 24 St & 7 Ave,40.74487634,-73.99529885,18359,Subscriber,1976,1
170,185,2013-07-01 00:44:46,2013-07-01 00:47:51,143,Clinton St & Joralemon St,40.69239502,-73.99337909,391,Clark St & Henry St,40.69760127,-73.99344559,20203,Subscriber,1997,1
173,444,2013-07-01 00:45:28,2013-07-01 00:52:52,392,Jay St & Tech Pl,40.695065,-73.987167,311,Norfolk St & Broome St,40.7172274,-73.98802084,16847,Subscriber,1980,1
174,1346,2013-07-01 00:45:42,2013-07-01 01:08:08,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,19454,Subscriber,1954,2
176,831,2013-07-01 00:46:00,2013-07-01 00:59:51,428,E 3 St & 1 Ave,40.72467721,-73.98783413,263,Elizabeth St & Hester St,40.717290000000006,-73.996375,15929,Subscriber,1975,1
177,3670,2013-07-01 00:46:05,2013-07-01 01:47:15,483,E 12 St & 3 Ave,40.73223272,-73.98889957,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,18582,Customer,\N,0
178,1895,2013-07-01 00:46:23,2013-07-01 01:17:58,375,Mercer St & Bleecker St,40.72679454,-73.99695094,465,Broadway & W 41 St,40.75513557,-73.98658032,17888,Customer,\N,0
180,1179,2013-07-01 00:46:36,2013-07-01 01:06:15,167,E 39 St & 3 Ave,40.7489006,-73.97604882,422,W 59 St & 10 Ave,40.770513,-73.988038,14777,Subscriber,1981,1
186,1518,2013-07-01 00:48:33,2013-07-01 01:13:51,511,E 14 St & Avenue B,40.72938685,-73.97772429,508,W 46 St & 11 Ave,40.76341379,-73.99667444,17593,Subscriber,1982,1
