start station name,usertype
Lexington Ave & Classon Ave,581
Lexington Ave & E 24 St,6631
Liberty St & Broadway,3608
Lispenard St & Broadway,3217
Little West St & 1 Pl,3952
MacDougal St & Prince St,6192
MacDougal St & Washington Sq,3567
Macon St & Nostrand Ave,725
Madison St & Clinton St,1471
Madison St & Montgomery St,1547
Maiden Ln & Pearl St,2260
Market St & Cherry St,1469
Mercer St & Bleecker St,5163
Mercer St & Spring St,3197
Metropolitan Ave & Bedford Ave,2393
Monroe St & Bedford Ave,589
Monroe St & Classon Ave,273
Mott St & Prince St,4943
Murray St & West St,2678
Myrtle Ave & St Edwards St,430
Nassau St & Navy St,547
Norfolk St & Broome St,2708
Old Fulton St,2572
Old Slip & Front St,1528
Park Ave & St Edwards St,177
Pearl St & Anchorage Pl,1056
Pearl St & Hanover Square,2155
Peck Slip & Front St,3584
Perry St & Bleecker St,2743
Pershing Square North,12359
Pershing Square South,5368
Pike St & E Broadway,2567
Pike St & Monroe St,1435
Pitt St & Stanton St,824
Railroad Ave & Kay Ave,51
Reade St & Broadway,2307
Rivington St & Chrystie St,2530
Rivington St & Ridge St,2286
S 3 St & Bedford Ave,471
S 4 St & Wythe Ave,1157
S 5 Pl & S 4 St,3022
S Portland Ave & Hanson Pl,780
Sands St & Navy St,216
Shevchenko Pl & E 7 St,3565
South End Ave & Liberty St,8091
South St & Gouverneur Ln,3329
South St & Whitehall St,2626
Spruce St & Nassau St,2185
St James Pl & Oliver St,1952
St James Pl & Pearl St,1193
St Marks Pl & 1 Ave,3836
St Marks Pl & 2 Ave,5168
Stanton St & Chrystie St,3374
Stanton St & Mangin St,1322
State St & Smith St,1720
Suffolk St & Stanton St,3893
Sullivan St & Washington Sq,3698
University Pl & E 14 St,6424
Vesey Pl & River Terrace,8605
W 11 St & 6 Ave,2537
W 13 St & 5 Ave,3428
W 13 St & 6 Ave,4154
W 13 St & 7 Ave,3721
W 14 St & The High Line,4083
W 15 St & 7 Ave,4728
W 16 St & The High Line,3644
W 17 St & 8 Ave,5674
W 18 St & 6 Ave,6468
W 20 St & 11 Ave,7684
W 20 St & 7 Ave,4683
W 20 St & 8 Ave,3912
W 21 St & 6 Ave,9181
W 22 St & 10 Ave,6157
W 22 St & 8 Ave,4821
W 24 St & 7 Ave,6228
W 25 St & 6 Ave,4678
W 26 St & 10 Ave,3831
W 26 St & 8 Ave,5249
W 27 St & 7 Ave,5301
W 29 St & 9 Ave,3339
W 31 St & 7 Ave,5820
W 33 St & 7 Ave,4814
W 34 St & 11 Ave,2435
W 37 St & 10 Ave,3914
W 37 St & 5 Ave,2790
W 38 St & 8 Ave,5638
W 39 St & 9 Ave,5132
W 4 St & 7 Ave S,5625
W 41 St & 8 Ave,7355
W 42 St & 8 Ave,8647
W 43 St & 10 Ave,4370
W 43 St & 6 Ave,2577
W 44 St & 5 Ave,3277
W 45 St & 6 Ave,3047
W 45 St & 8 Ave,3604
W 46 St & 11 Ave,2958
W 47 St & 10 Ave,3439
W 49 St & 8 Ave,1956
W 51 St & 6 Ave,3275
W 52 St & 11 Ave,3149
W 52 St & 5 Ave,2998
W 52 St & 9 Ave,3106
