start station name,usertype
1 Ave & E 15 St,4138
1 Ave & E 18 St,2571
1 Ave & E 30 St,2906
1 Ave & E 44 St,2229
10 Ave & W 28 St,2874
11 Ave & W 27 St,2677
11 Ave & W 41 St,2850
12 Ave & W 40 St,3311
2 Ave & E 31 St,4331
2 Ave & E 58 St,3896
3 Ave & Schermerhorn St,392
5 Ave & E 29 St,3086
6 Ave & Broome St,1920
6 Ave & Canal St,2510
6 Ave & W 33 St,3102
7 Ave & Farragut St,162
8 Ave & W 31 St,7048
8 Ave & W 33 St,6259
8 Ave & W 52 St,3592
9 Ave & W 14 St,4340
9 Ave & W 16 St,3646
9 Ave & W 18 St,2875
9 Ave & W 22 St,3827
9 Ave & W 45 St,3926
Adelphi St & Myrtle Ave,1107
Allen St & E Houston St,3568
Allen St & Hester St,2261
Allen St & Rivington St,3830
Ashland Pl & Hanson Pl,1617
Atlantic Ave & Fort Greene Pl,1589
Atlantic Ave & Furman St,1643
Avenue D & E 12 St,505
Avenue D & E 3 St,882
Avenue D & E 8 St,894
Bank St & Hudson St,2687
Bank St & Washington St,3106
Barclay St & Church St,4474
Barrow St & Hudson St,4488
Bayard St & Baxter St,2391
Bedford Ave & S 9th St,294
Bialystoker Pl & Delancey St,1596
Bond St & Schermerhorn St,1244
Broad St & Bridge St,1338
Broadway & Battery Pl,3669
Broadway & Berry St,852
Broadway & E 14 St,7167
Broadway & E 22 St,5420
Broadway & W 24 St,6090
Broadway & W 29 St,3224
Broadway & W 32 St,3664
Broadway & W 36 St,1899
Broadway & W 37 St,1872
Broadway & W 39 St,2432
Broadway & W 41 St,3798
Broadway & W 49 St,3622
Broadway & W 51 St,2733
Broadway & W 53 St,3636
Broadway & W 55 St,3469
Broadway & W 58 St,5202
Broadway & W 60 St,6294
Cadman Plaza E & Red Cross Pl,175
Cadman Plaza E & Tillary St,1148
Canal St & Rutgers St,2544
Carlton Ave & Park Ave,946
Carmine St & 6 Ave,5738
Catherine St & Monroe St,510
Central Park S & 6 Ave,5789
Centre St & Chambers St,5290
Centre St & Worth St,2534
Cherry St,1320
Christopher St & Greenwich St,5046
Church St & Leonard St,2543
Clark St & Henry St,2317
Clermont Ave & Lafayette Ave,810
Clermont Ave & Park Ave,399
Cleveland Pl & Spring St,5655
Cliff St & Fulton St,3054
Clinton Ave & Flushing Ave,488
Clinton Ave & Myrtle Ave,1290
Clinton St & Grand St,2248
Clinton St & Joralemon St,916
Clinton St & Tillary St,1260
Columbia Heights & Cranberry St,855
Columbia St & Rivington St,1562
Concord St & Bridge St,552
Cumberland St & Lafayette Ave,1085
DeKalb Ave & Hudson Ave,3114
DeKalb Ave & S Portland Ave,937
DeKalb Ave & Skillman St,335
DeKalb Ave & Vanderbilt Ave,566
Dean St & 4 Ave,1771
Division St & Bowery,1886
Duane St & Greenwich St,1992
Duffield St & Willoughby St,717
E 10 St & 5 Ave,2430
E 10 St & Avenue A,3090
E 11 St & 1 Ave,3611
E 11 St & 2 Ave,3696
E 11 St & Broadway,2645
E 12 St & 3 Ave,3199
E 13 St & Avenue A,3226
E 14 St & Avenue B,2229
E 15 St & 3 Ave,2449
E 16 St & 5 Ave,3267
E 16 St & Irving Pl,3456
E 17 St & Broadway,7814
E 19 St & 3 Ave,3076
E 2 St & 2 Ave,2609
E 2 St & Avenue B,3221
E 2 St & Avenue C,1604
E 20 St & 2 Ave,3378
E 20 St & FDR Drive,2576
E 20 St & Park Ave,1852
E 23 St & 1 Ave,2904
E 25 St & 1 Ave,1939
E 25 St & 2 Ave,3881
E 27 St & 1 Ave,714
