start station name,usertype
E 3 St & 1 Ave,2789
E 30 St & Park Ave S,2813
E 31 St & 3 Ave,4121
E 32 St & Park Ave,3605
E 33 St & 1 Ave,2823
E 33 St & 5 Ave,1687
E 37 St & Lexington Ave,1701
E 39 St & 2 Ave,4660
E 39 St & 3 Ave,2903
E 4 St & 2 Ave,3983
E 40 St & 5 Ave,3050
E 43 St & 2 Ave,1254
E 43 St & Vanderbilt Ave,4526
E 45 St & 3 Ave,1965
E 47 St & 1 Ave,1651
E 47 St & 2 Ave,2343
E 47 St & Park Ave,2681
E 48 St & 3 Ave,1995
E 5 St & Avenue C,1567
E 51 St & 1 Ave,1869
E 51 St & Lexington Ave,2728
E 52 St & 2 Ave,806
E 53 St & Lexington Ave,2591
E 53 St & Madison Ave,2298
E 55 St & 2 Ave,1708
E 55 St & Lexington Ave,363
E 56 St & 3 Ave,2218
E 56 St & Madison Ave,647
E 58 St & 3 Ave,4064
E 59 St & Sutton Pl,826
E 6 St & Avenue B,2859
E 6 St & Avenue D,1103
E 7 St & Avenue A,3139
E 9 St & Avenue C,2664
Elizabeth St & Hester St,2924
Emerson Pl & Myrtle Ave,477
FDR Drive & E 35 St,2802
Flushing Ave & Carlton Ave,851
Forsyth St & Broome St,2750
Forsyth St & Canal St,1886
Franklin Ave & Myrtle Ave,295
Franklin St & W Broadway,5034
Front St & Gold St,803
Front St & Maiden Ln,2369
Front St & Washington St,1920
Fulton St & Clermont Ave,508
Fulton St & Grand Ave,572
Fulton St & Rockwell Pl,1686
Fulton St & Waverly Ave,1041
Fulton St & William St,2173
Gallatin Pl & Livingston St,441
Grand Army Plaza & Central Park S,5340
Grand St & Greene St,1362
Grand St & Havemeyer St,946
Great Jones St,3495
Greenwich Ave & 8 Ave,4321
Greenwich Ave & Charles St,2500
Greenwich St & N Moore St,3562
Greenwich St & Warren St,4012
Hancock St & Bedford Ave,331
Hanover Pl & Livingston St,225
Harrison St & Hudson St,1654
Henry St & Atlantic Ave,1676
Henry St & Poplar St,562
Hicks St & Montague St,1603
Howard St & Centre St,2891
Hudson St & Reade St,2368
Jay St & Tech Pl,333
John St & William St,2043
Johnson St & Gold St,1116
Joralemon St & Adams St,1742
Kent Ave & S 11 St,619
LaGuardia Pl & W 3 St,3626
Lafayette Ave & Classon Ave,643
Lafayette Ave & Fort Greene Pl,1090
Lafayette Ave & St James Pl,585
Lafayette St & E 8 St,6979
Lafayette St & Jersey St,1792
Laight St & Hudson St,906
Lawrence St & Willoughby St,4223
Lefferts Pl & Franklin Ave,876
Lexington Ave & Classon Ave,651
Lexington Ave & E 24 St,3965
Lexington Ave & E 26 St,3426
Liberty St & Broadway,3367
Lispenard St & Broadway,2401
Little West St & 1 Pl,1048
MacDougal St & Prince St,4638
MacDougal St & Washington Sq,2472
Macon St & Nostrand Ave,491
Madison St & Clinton St,1121
Madison St & Montgomery St,1280
Maiden Ln & Pearl St,2346
Market St & Cherry St,1248
Mercer St & Bleecker St,3882
Mercer St & Spring St,2878
Metropolitan Ave & Bedford Ave,2202
Monroe St & Bedford Ave,363
Monroe St & Classon Ave,329
Montague St & Clinton St,1173
Mott St & Prince St,3867
Murray St & West St,2490
Myrtle Ave & St Edwards St,396
Nassau St & Navy St,417
Norfolk St & Broome St,2072
Old Fulton St,2033
Old Slip & Front St,1904
Park Ave & St Edwards St,117
Park Pl & Church St,2773
Pearl St & Anchorage Pl,1336
Pearl St & Hanover Square,2501
Perry St & Bleecker St,1999
Pershing Square N,7290
Pershing Square S,4492
Pike St & E Broadway,1057
Pike St & Monroe St,1153
Pitt St & Stanton St,867
Railroad Ave & Kay Ave,116
Reade St & Broadway,2143
Rivington St & Chrystie St,2814
Rivington St & Ridge St,1589
S 3 St & Bedford Ave,876
S 4 St & Wythe Ave,885
S 5 Pl & S 4 St,2378
S Portland Ave & Hanson Pl,582
Sands St & Gold St,520
Shevchenko Pl & E 6 St,910
South End Ave & Liberty St,1956
South St & Gouverneur Ln,3079
South St & Whitehall St,1937
Spruce St & Nassau St,2183
St James Pl & Oliver St,1640
St James Pl & Pearl St,1141
St Marks Pl & 1 Ave,2687
St Marks Pl & 2 Ave,3832
Stanton St & Chrystie St,2209
Stanton St & Mangin St,981
State St,3454
State St & Smith St,1880
Suffolk St & Stanton St,3062
Sullivan St & Washington Sq,2799
University Pl & E 14 St,4914
Vesey Pl & River Terrace,6829
W 11 St & 6 Ave,2747
W 13 St & 5 Ave,2603
W 13 St & 6 Ave,3879
W 13 St & 7 Ave,2328
W 14 St & The High Line,3003
W 15 St & 7 Ave,4320
W 16 St & The High Line,2972
W 17 St & 8 Ave,3521
W 18 St & 6 Ave,4322
W 20 St & 11 Ave,8049
W 20 St & 7 Ave,3548
W 20 St & 8 Ave,3176
W 21 St & 6 Ave,4897
W 22 St & 10 Ave,3905
W 22 St & 8 Ave,3724
W 24 St & 7 Ave,4127
W 25 St & 6 Ave,4514
W 26 St & 10 Ave,3914
W 26 St & 8 Ave,3222
W 27 St & 7 Ave,4095
W 29 St & 9 Ave,2392
W 31 St & 7 Ave,3147
W 33 St & 7 Ave,4848
W 34 St & 11 Ave,1669
W 37 St & 10 Ave,3366
W 37 St & 5 Ave,2591
W 38 St & 8 Ave,3595
W 39 St & 9 Ave,4274
W 4 St & 7 Ave S,4272
W 41 St & 8 Ave,5817
W 42 St & 8 Ave,2984
W 43 St & 10 Ave,3686
W 43 St & 6 Ave,3327
W 44 St & 5 Ave,2131
W 45 St & 6 Ave,2799
W 45 St & 8 Ave,2476
W 46 St & 11 Ave,2406
W 47 St & 10 Ave,2745
W 49 St & 5 Ave,2026
W 49 St & 8 Ave,4014
W 51 St & 6 Ave,2978
W 52 St & 11 Ave,3575
W 52 St & 5 Ave,2363
W 52 St & 9 Ave,2216
W 53 St & 10 Ave,2081
W 54 St & 9 Ave,1959
W 56 St & 10 Ave,2193
W 56 St & 6 Ave,3725
W 59 St & 10 Ave,2902
W Broadway & Spring St,3763
W Houston St & Hudson St,5008
Warren St & Church St,2654
Washington Ave & Greene Ave,466
Washington Ave & Park Ave,606
Washington Park,763
Washington Pl & 6 Ave,2497
Washington Pl & Broadway,2688
Washington Square E,3577
Washington St & Gansevoort St,3510
Water - Whitehall Plaza,1684
Watts St & Greenwich St,2703
West St & Chambers St,7387
West Thames St,6162
William St & Pine St,2069
Willoughby Ave & Hall St,930
Willoughby Ave & Walworth St,601
Willoughby St & Fleet St,793
Wythe Ave & Metropolitan Ave,1845
York St & Jay St,1610
